pokemon_id,move_type,move_name,damage,eps,dps
1-bulbasaur,fast,Látigo Cepa,7,10,14
1-bulbasaur,fast,Placaje,5,10,10
1-bulbasaur,main,Bomba Germen,55,-15.7,31.4
1-bulbasaur,main,Bomba Lodo,80,-21.7,41.7
1-bulbasaur,main,Latigazo,90,-19.2,41.5
1-bulbasaur,main,Frustración Shadow,10,-16.5,5
1-bulbasaur,main,Retribución Purified,35,-47.1,50
2-ivysaur,fast,Látigo Cepa,7,10,14
2-ivysaur,fast,Hoja Afilada,13,7,15.6
2-ivysaur,main,Bomba Lodo,80,-21.7,41.7
2-ivysaur,main,Rayo Solar,180,-20.4,44.1
2-ivysaur,main,Latigazo,90,-19.2,41.5
2-ivysaur,main,Frustración Shadow,10,-16.5,5
2-ivysaur,main,Retribución Purified,35,-47.1,50
3-venusaur,fast,Látigo Cepa,7,10,14
3-venusaur,fast,Hoja Afilada,13,7,15.6
3-venusaur,main,Tormenta Floral,110,-38.5,50.8
3-venusaur,main,Bomba Lodo,80,-21.7,41.7
3-venusaur,main,Rayo Solar,180,-20.4,44.1
3-venusaur,main,Planta Feroz Elite TM,100,-19.2,46.2
3-venusaur,main,Frustración Shadow,10,-16.5,5
3-venusaur,main,Retribución Purified,35,-47.1,50
4-charmander,fast,Ascuas,10,10,12
4-charmander,fast,Arañazo,6,8,12
4-charmander,main,Lanzallamas,70,-22.7,38.2
4-charmander,main,Nitrocarga,70,-8.7,22.1
4-charmander,main,Pirotecnia,70,-19.2,32.3
4-charmander,main,Frustración Shadow,10,-16.5,5
4-charmander,main,Retribución Purified,35,-47.1,50
5-charmeleon,fast,Ascuas,10,10,12
5-charmeleon,fast,Colmillo Ígneo,12,8.9,16
5-charmeleon,fast,Arañazo Elite TM,6,8,12
5-charmeleon,main,Lanzallamas,70,-22.7,38.2
5-charmeleon,main,Pirotecnia,70,-19.2,32.3
5-charmeleon,main,Puño Fuego,55,-15,30
5-charmeleon,main,Frustración Shadow,10,-16.5,5
5-charmeleon,main,Retribución Purified,35,-47.1,50
6-charizard,fast,Tajo Aéreo,14,8.3,14
6-charizard,fast,Giro Fuego,14,9.1,15.3
6-charizard,fast,Ascuas Elite TM,10,10,12
6-charizard,fast,Ataque Ala Elite TM,8,11.3,12
6-charizard,fast,Dragoaliento Elite TM,6,8,12
6-charizard,main,Garra Dragón,50,-19.4,29.4
6-charizard,main,Llamarada,140,-23.8,40
6-charizard,main,Sofoco,160,-25,48
6-charizard,main,Lanzallamas Elite TM,70,-22.7,38.2
6-charizard,main,Anillo Ígneo Elite TM,110,-15.2,40
6-charizard,main,Frustración Shadow,10,-16.5,5
6-charizard,main,Retribución Purified,35,-47.1,50
7-squirtle,fast,Placaje,5,10,10
7-squirtle,fast,Burbuja,12,11.7,12
7-squirtle,main,Acua Jet,45,-12.7,20.8
7-squirtle,main,Acua Cola,50,-17.4,31.6
7-squirtle,main,Hidropulso,70,-15.6,26.3
7-squirtle,main,Frustración Shadow,10,-16.5,5
7-squirtle,main,Retribución Purified,35,-47.1,50
8-wartortle,fast,Mordisco,6,8,12
8-wartortle,fast,Pistola Agua,5,10,12
